architecture,error_metric,task,num_features,training_samples,n_layers,activation_function,learning_rate,batch_size,metric,dimension,dataset,y
irnet,1,prediction,29,240122,3,sigmoid,0.0001,128,1831.938286735447,1,flight-price-prediction,0.7658399302747624
irnet,1,prediction,29,240122,2,relu,0.001,16,1854.9479857841268,1,flight-price-prediction,0.7563400701977506
irnet,1,prediction,29,240122,1,elu,0.0001,16,1941.6268977387808,1,flight-price-prediction,0.7225752235998808
irnet,1,prediction,29,240122,1,sigmoid,0.001,32,1692.1643029966745,1,flight-price-prediction,0.8290988571834326
irnet,1,prediction,29,240122,1,elu,0.001,32,1640.4614418557087,1,flight-price-prediction,0.8552297871713981
irnet,1,prediction,29,240122,2,relu,1e-05,32,2058.7340061842074,1,flight-price-prediction,0.6814729273265865
irnet,1,prediction,29,240122,2,elu,0.001,16,1895.5694754121505,1,flight-price-prediction,0.7401319276235426
irnet,1,prediction,29,240122,1,sigmoid,1e-05,32,8428.460036460003,1,flight-price-prediction,0.16645644444087532
irnet,1,prediction,29,240122,3,sigmoid,0.0001,32,1708.9566955510486,1,flight-price-prediction,0.820952042514312
irnet,1,prediction,29,240122,1,relu,1e-05,16,2330.917097963741,1,flight-price-prediction,0.6018967774558607
irnet,1,prediction,29,240122,2,sigmoid,0.001,64,1572.943262836743,1,flight-price-prediction,0.891940302570696
irnet,1,prediction,29,240122,1,elu,0.01,64,1473.598067284377,1,flight-price-prediction,0.9520720208099968
irnet,1,prediction,29,240122,3,sigmoid,0.01,128,1474.316159973231,1,flight-price-prediction,0.9516082966943916
irnet,1,prediction,29,240122,2,tanh,1e-05,32,2995.689409453513,1,flight-price-prediction,0.4683300896794501
irnet,1,prediction,29,240122,2,relu,0.0001,32,1678.2080453500714,1,flight-price-prediction,0.8359937813839314
irnet,1,prediction,29,240122,3,elu,1e-05,16,2189.076244735203,1,flight-price-prediction,0.640896585103115
irnet,1,prediction,29,240122,1,sigmoid,0.01,64,1425.7372703678702,1,flight-price-prediction,0.9840322750482257
irnet,1,prediction,29,240122,1,relu,0.01,128,1470.2449774607012,1,flight-price-prediction,0.954243348074041
irnet,1,prediction,29,240122,3,elu,0.001,64,1515.6088307967154,1,flight-price-prediction,0.9256817862717504
irnet,1,prediction,29,240122,3,elu,0.01,64,1426.005329627544,1,flight-price-prediction,0.9838472975045489
irnet,1,prediction,29,240122,2,relu,0.01,128,1402.9714897811425,1,flight-price-prediction,1.0
irnet,1,prediction,29,240122,2,elu,0.0001,128,2245.7217411313804,1,flight-price-prediction,0.6247307776761044
irnet,1,prediction,29,240122,1,relu,0.0001,128,2009.0506807587078,1,flight-price-prediction,0.6983255839276874
irnet,1,prediction,29,240122,2,elu,0.001,32,1657.1820894877328,1,flight-price-prediction,0.8466006835825919
irnet,1,prediction,29,240122,1,relu,0.0001,16,2156.1798240505427,1,flight-price-prediction,0.6506746209810818
irnet,1,prediction,29,240122,2,tanh,0.0001,64,1804.4536115924661,1,flight-price-prediction,0.7775048805732347
irnet,1,prediction,29,240122,1,sigmoid,0.01,32,1511.2088635115426,1,flight-price-prediction,0.9283769594370346
irnet,1,prediction,29,240122,1,elu,0.001,16,1953.9067017055027,1,flight-price-prediction,0.7180340230966676
irnet,1,prediction,29,240122,3,relu,0.0001,16,1905.2018515043271,1,flight-price-prediction,0.7363899466470554
irnet,1,prediction,29,240122,3,tanh,0.001,128,1448.1523353223474,1,flight-price-prediction,0.9688010408579371
fcmnr,1,prediction,29,240122,2,sigmoid,0.001,32,16062.976326082437,1,flight-price-prediction,0.11149628987368382
fcmnr,1,prediction,29,240122,1,relu,0.0001,128,20772.00591694172,1,flight-price-prediction,0.08621999588524538
fcmnr,1,prediction,29,240122,2,tanh,1e-05,128,20765.394108164863,1,flight-price-prediction,0.08624744877742578
fcmnr,1,prediction,29,240122,3,tanh,0.0001,64,20193.801243174632,1,flight-price-prediction,0.08868871408211672
fcmnr,1,prediction,29,240122,3,elu,1e-05,16,20562.046848643382,1,flight-price-prediction,0.08710038829646816
fcmnr,1,prediction,29,240122,2,relu,0.001,32,19614.86820486173,1,flight-price-prediction,0.09130636239722993
fcmnr,1,prediction,29,240122,1,relu,1e-05,32,20790.09324871357,1,flight-price-prediction,0.08614498469350673
fcmnr,1,prediction,29,240122,1,sigmoid,0.01,64,16062.529811339009,1,flight-price-prediction,0.11149938930682733
fcmnr,1,prediction,29,240122,1,elu,1e-05,64,2394.5291996352016,1,flight-price-prediction,0.7479392044832257
fcmnr,1,prediction,29,240122,2,tanh,0.0001,32,19725.798008311347,1,flight-price-prediction,0.09079289283670028
fcmnr,1,prediction,29,240122,2,elu,1e-05,128,2244.328795360841,1,flight-price-prediction,0.79799460239027
fcmnr,1,prediction,29,240122,1,sigmoid,1e-05,16,20778.643434870795,1,flight-price-prediction,0.08619245381926179
fcmnr,1,prediction,29,240122,3,relu,0.001,32,2468.1622223334025,1,flight-price-prediction,0.725625831430898
fcmnr,1,prediction,29,240122,2,elu,0.001,64,1917.0275958943023,1,flight-price-prediction,0.9342391671996332
fcmnr,1,prediction,29,240122,3,sigmoid,0.0001,64,20230.203770030093,1,flight-price-prediction,0.08852912630273244
fcmnr,1,prediction,29,240122,1,sigmoid,1e-05,128,20781.020567286567,1,flight-price-prediction,0.0861825942998361
fcmnr,1,prediction,29,240122,3,relu,0.01,64,1790.962264687008,1,flight-price-prediction,1.0
fcmnr,1,prediction,29,240122,3,elu,1e-05,128,2376.7624562677124,1,flight-price-prediction,0.7535301897604859
fcmnr,1,prediction,29,240122,2,sigmoid,0.0001,64,20742.231441844066,1,flight-price-prediction,0.08634376054034543
fcmnr,1,prediction,29,240122,3,relu,0.01,16,16062.52828819205,1,flight-price-prediction,0.11149939987987989
fcmnr,1,prediction,29,240122,1,sigmoid,0.0001,64,20742.231441844066,1,flight-price-prediction,0.08634376054034543
fcmnr,1,prediction,29,240122,2,sigmoid,0.0001,16,20555.11818348225,1,flight-price-prediction,0.08712974786621248
fcmnr,1,prediction,29,240122,3,sigmoid,1e-05,128,20771.424055445743,1,flight-price-prediction,0.08622241113109734
fcmnr,1,prediction,29,240122,2,relu,0.01,64,2165.0893456207295,1,flight-price-prediction,0.8272001653463129
fcmnr,1,prediction,29,240122,3,sigmoid,1e-05,64,20745.530109751773,1,flight-price-prediction,0.08633003134709664
fcmnr,1,prediction,29,240122,3,tanh,0.001,16,16062.527148587164,1,flight-price-prediction,0.11149940779054424
