architecture,task,num_features,training_samples,n_layers,activation_function,learning_rate,batch_size,metric,dimension,dataset,y
fcunet,prediction,29,240122,2,sigmoid,0.001,32,16062.526544960234,1,flight-price-prediction,0.09259982351733279
fcunet,prediction,29,240122,2,relu,0.0001,128,10401.670741283997,1,flight-price-prediction,0.14299502073281214
fcunet,prediction,29,240122,1,relu,1e-05,64,20208.904054564486,1,flight-price-prediction,0.0736005831533374
fcunet,prediction,29,240122,3,relu,0.01,128,1723.8974723594145,1,flight-price-prediction,0.8628048634876624
fcunet,prediction,29,240122,2,relu,1e-05,128,20648.01851502297,1,flight-price-prediction,0.07203534432243976
fcunet,prediction,29,240122,3,tanh,0.001,32,12573.770905554185,1,flight-price-prediction,0.11829284424521926
fcunet,prediction,29,240122,1,tanh,0.001,128,16510.74389486981,1,flight-price-prediction,0.0900860150685245
fcunet,prediction,29,240122,1,elu,0.001,16,5934.010380352557,1,flight-price-prediction,0.2506546210688328
fcunet,prediction,29,240122,2,tanh,1e-05,16,20401.62167774494,1,flight-price-prediction,0.07290533795792828
fcunet,prediction,29,240122,3,elu,0.01,16,1767.8517823652442,1,flight-price-prediction,0.8413528431188874
fcunet,prediction,29,240122,2,elu,0.0001,128,11642.59828184434,1,flight-price-prediction,0.12775388167650228
fcunet,prediction,29,240122,3,elu,0.0001,16,2308.857129950225,1,flight-price-prediction,0.6442092514134282
fcunet,prediction,29,240122,3,tanh,0.0001,32,18779.260660538203,1,flight-price-prediction,0.07920371042249344
fcunet,prediction,29,240122,1,sigmoid,0.0001,16,17098.147746898154,1,flight-price-prediction,0.08699112589991649
fcunet,prediction,29,240122,1,relu,0.0001,64,1716.1610722236871,1,flight-price-prediction,0.8666943606747435
fcunet,prediction,29,240122,2,elu,0.001,32,1925.8018146882248,1,flight-price-prediction,0.7723469320474129
fcunet,prediction,29,240122,2,relu,0.001,128,1487.3871233057907,1,flight-price-prediction,1.0
fcunet,prediction,29,240122,1,tanh,0.0001,128,20286.20785938557,1,flight-price-prediction,0.07332011648582412
fcunet,prediction,29,240122,1,relu,0.001,32,1670.3922363826214,1,flight-price-prediction,0.8904418321093589
fcunet,prediction,29,240122,2,relu,0.001,16,4804.114733549369,1,flight-price-prediction,0.3096069111169794
fcunet,prediction,29,240122,1,relu,0.0001,32,1656.3552559367765,1,flight-price-prediction,0.8979879877668977
fcunet,prediction,29,240122,2,elu,0.01,16,14340.44414617145,1,flight-price-prediction,0.10371973895263815
fcunet,prediction,29,240122,1,sigmoid,0.01,32,5924.325500159878,1,flight-price-prediction,0.2510643824796006
fcunet,prediction,29,240122,1,elu,0.001,64,1896.326156060824,1,flight-price-prediction,0.7843519526174185
fcunet,prediction,29,240122,1,sigmoid,0.01,64,16062.526566531118,1,flight-price-prediction,0.0925998233929775
fcunet,prediction,29,240122,3,elu,0.01,32,11719.215685282981,1,flight-price-prediction,0.12691865763454246
fcunet,prediction,29,240122,2,relu,0.01,128,1882.9182335362893,1,flight-price-prediction,0.7899371819839167
fcunet,prediction,29,240122,2,relu,0.01,32,2446.3915374253093,1,flight-price-prediction,0.6079922614804263
fcunet,prediction,29,240122,2,sigmoid,0.01,128,5273.984962814785,1,flight-price-prediction,0.28202339100184987
fcunet,prediction,29,240122,3,relu,0.01,32,2055.1320500073984,1,flight-price-prediction,0.7237428482030808
irnet,prediction,29,240122,3,sigmoid,0.0001,128,1831.938286735447,1,flight-price-prediction,0.7658399302747624
irnet,prediction,29,240122,2,relu,0.001,16,1854.9479857841268,1,flight-price-prediction,0.7563400701977506
irnet,prediction,29,240122,1,elu,0.0001,16,1941.6268977387808,1,flight-price-prediction,0.7225752235998808
irnet,prediction,29,240122,1,sigmoid,0.001,32,1692.1643029966745,1,flight-price-prediction,0.8290988571834326
irnet,prediction,29,240122,1,elu,0.001,32,1640.4614418557087,1,flight-price-prediction,0.8552297871713981
irnet,prediction,29,240122,2,relu,1e-05,32,2058.7340061842074,1,flight-price-prediction,0.6814729273265865
irnet,prediction,29,240122,2,elu,0.001,16,1895.5694754121505,1,flight-price-prediction,0.7401319276235426
irnet,prediction,29,240122,1,sigmoid,1e-05,32,8428.460036460003,1,flight-price-prediction,0.16645644444087532
irnet,prediction,29,240122,3,sigmoid,0.0001,32,1708.9566955510486,1,flight-price-prediction,0.820952042514312
irnet,prediction,29,240122,1,relu,1e-05,16,2330.917097963741,1,flight-price-prediction,0.6018967774558607
irnet,prediction,29,240122,2,sigmoid,0.001,64,1572.943262836743,1,flight-price-prediction,0.891940302570696
irnet,prediction,29,240122,1,elu,0.01,64,1473.598067284377,1,flight-price-prediction,0.9520720208099968
irnet,prediction,29,240122,3,sigmoid,0.01,128,1474.316159973231,1,flight-price-prediction,0.9516082966943916
irnet,prediction,29,240122,2,tanh,1e-05,32,2995.689409453513,1,flight-price-prediction,0.4683300896794501
irnet,prediction,29,240122,2,relu,0.0001,32,1678.2080453500714,1,flight-price-prediction,0.8359937813839314
irnet,prediction,29,240122,3,elu,1e-05,16,2189.076244735203,1,flight-price-prediction,0.640896585103115
irnet,prediction,29,240122,1,sigmoid,0.01,64,1425.7372703678702,1,flight-price-prediction,0.9840322750482257
irnet,prediction,29,240122,1,relu,0.01,128,1470.2449774607012,1,flight-price-prediction,0.954243348074041
irnet,prediction,29,240122,3,elu,0.001,64,1515.6088307967154,1,flight-price-prediction,0.9256817862717504
irnet,prediction,29,240122,3,elu,0.01,64,1426.005329627544,1,flight-price-prediction,0.9838472975045489
irnet,prediction,29,240122,2,relu,0.01,128,1402.9714897811425,1,flight-price-prediction,1.0
irnet,prediction,29,240122,2,elu,0.0001,128,2245.7217411313804,1,flight-price-prediction,0.6247307776761044
irnet,prediction,29,240122,1,relu,0.0001,128,2009.0506807587078,1,flight-price-prediction,0.6983255839276874
irnet,prediction,29,240122,2,elu,0.001,32,1657.1820894877328,1,flight-price-prediction,0.8466006835825919
irnet,prediction,29,240122,1,relu,0.0001,16,2156.1798240505427,1,flight-price-prediction,0.6506746209810818
irnet,prediction,29,240122,2,tanh,0.0001,64,1804.4536115924661,1,flight-price-prediction,0.7775048805732347
irnet,prediction,29,240122,1,sigmoid,0.01,32,1511.2088635115426,1,flight-price-prediction,0.9283769594370346
irnet,prediction,29,240122,1,elu,0.001,16,1953.9067017055027,1,flight-price-prediction,0.7180340230966676
irnet,prediction,29,240122,3,relu,0.0001,16,1905.2018515043271,1,flight-price-prediction,0.7363899466470554
irnet,prediction,29,240122,3,tanh,0.001,128,1448.1523353223474,1,flight-price-prediction,0.9688010408579371
fcmnr,prediction,29,240122,2,sigmoid,0.001,32,16062.976326082437,1,flight-price-prediction,0.11149628987368382
fcmnr,prediction,29,240122,1,relu,0.0001,128,20772.00591694172,1,flight-price-prediction,0.08621999588524538
fcmnr,prediction,29,240122,2,tanh,1e-05,128,20765.394108164863,1,flight-price-prediction,0.08624744877742578
fcmnr,prediction,29,240122,3,tanh,0.0001,64,20193.801243174632,1,flight-price-prediction,0.08868871408211672
fcmnr,prediction,29,240122,3,elu,1e-05,16,20562.046848643382,1,flight-price-prediction,0.08710038829646816
fcmnr,prediction,29,240122,2,relu,0.001,32,19614.86820486173,1,flight-price-prediction,0.09130636239722993
fcmnr,prediction,29,240122,1,relu,1e-05,32,20790.09324871357,1,flight-price-prediction,0.08614498469350673
fcmnr,prediction,29,240122,1,sigmoid,0.01,64,16062.529811339009,1,flight-price-prediction,0.11149938930682733
fcmnr,prediction,29,240122,1,elu,1e-05,64,2394.5291996352016,1,flight-price-prediction,0.7479392044832257
fcmnr,prediction,29,240122,2,tanh,0.0001,32,19725.798008311347,1,flight-price-prediction,0.09079289283670028
fcmnr,prediction,29,240122,2,elu,1e-05,128,2244.328795360841,1,flight-price-prediction,0.79799460239027
fcmnr,prediction,29,240122,1,sigmoid,1e-05,16,20778.643434870795,1,flight-price-prediction,0.08619245381926179
fcmnr,prediction,29,240122,3,relu,0.001,32,2468.1622223334025,1,flight-price-prediction,0.725625831430898
fcmnr,prediction,29,240122,2,elu,0.001,64,1917.0275958943023,1,flight-price-prediction,0.9342391671996332
fcmnr,prediction,29,240122,3,sigmoid,0.0001,64,20230.203770030093,1,flight-price-prediction,0.08852912630273244
fcmnr,prediction,29,240122,1,sigmoid,1e-05,128,20781.020567286567,1,flight-price-prediction,0.0861825942998361
fcmnr,prediction,29,240122,3,relu,0.01,64,1790.962264687008,1,flight-price-prediction,1.0
fcmnr,prediction,29,240122,3,elu,1e-05,128,2376.7624562677124,1,flight-price-prediction,0.7535301897604859
fcmnr,prediction,29,240122,2,sigmoid,0.0001,64,20742.231441844066,1,flight-price-prediction,0.08634376054034543
fcmnr,prediction,29,240122,3,relu,0.01,16,16062.52828819205,1,flight-price-prediction,0.11149939987987989
fcmnr,prediction,29,240122,1,sigmoid,0.0001,64,20742.231441844066,1,flight-price-prediction,0.08634376054034543
fcmnr,prediction,29,240122,2,sigmoid,0.0001,16,20555.11818348225,1,flight-price-prediction,0.08712974786621248
fcmnr,prediction,29,240122,3,sigmoid,1e-05,128,20771.424055445743,1,flight-price-prediction,0.08622241113109734
fcmnr,prediction,29,240122,2,relu,0.01,64,2165.0893456207295,1,flight-price-prediction,0.8272001653463129
fcmnr,prediction,29,240122,3,sigmoid,1e-05,64,20745.530109751773,1,flight-price-prediction,0.08633003134709664
fcmnr,prediction,29,240122,3,tanh,0.001,16,16062.527148587164,1,flight-price-prediction,0.11149940779054424
fcmnr,prediction,29,240122,2,elu,0.01,64,3001.3932865866805,1,flight-price-prediction,0.5967102920803061
fcmnr,prediction,29,240122,3,sigmoid,0.001,128,20500.56552540119,1,flight-price-prediction,0.08736160290153554
fcmnr,prediction,29,240122,2,elu,1e-05,32,20687.342464909318,1,flight-price-prediction,0.08657285331477006
fcmnr,prediction,29,240122,3,tanh,1e-05,64,20739.517773020816,1,flight-price-prediction,0.08635505821725503
mnr,segmentation,3,3339,1,relu,0.0001,32,0.6128519,2,brain-mri-segmentation,0.008543802344416327
mnr,segmentation,3,3339,2,relu,0.001,64,0.66795695,2,brain-mri-segmentation,0.007838956537543325
mnr,segmentation,3,3339,1,elu,0.01,32,0.0052360855,2,brain-mri-segmentation,1.0
mnr,segmentation,3,3339,1,sigmoid,0.001,64,0.5303484,2,brain-mri-segmentation,0.009872916558247371
mnr,segmentation,3,3339,1,tanh,0.0001,8,0.55848515,2,brain-mri-segmentation,0.009375514281803197
mnr,segmentation,3,3339,1,relu,0.0001,8,0.051095537999999996,2,brain-mri-segmentation,0.10247637474724311
mnr,segmentation,3,3339,2,tanh,0.001,16,0.56402266,2,brain-mri-segmentation,0.009283466554340212
mnr,segmentation,3,3339,3,tanh,0.01,16,0.020288924,2,brain-mri-segmentation,0.25807605667013195
mnr,segmentation,3,3339,1,sigmoid,0.0001,16,0.49782908,2,brain-mri-segmentation,0.010517837768737817
mnr,segmentation,3,3339,1,tanh,0.001,64,0.6357553000000001,2,brain-mri-segmentation,0.008236007627462955
mnr,segmentation,3,3339,2,elu,0.001,32,0.6574762,2,brain-mri-segmentation,0.007963916412487632
mnr,segmentation,3,3339,1,tanh,0.01,16,0.01085303,2,brain-mri-segmentation,0.4824537940095992
mnr,segmentation,3,3339,2,sigmoid,0.0001,32,0.50724876,2,brain-mri-segmentation,0.01032252005899433
mnr,segmentation,3,3339,3,sigmoid,1e-05,8,0.46034107,2,brain-mri-segmentation,0.011374360971094758
mnr,segmentation,3,3339,3,tanh,0.01,8,0.051101692000000004,2,brain-mri-segmentation,0.10246403387191172
mnr,segmentation,3,3339,3,relu,0.001,64,0.68348426,2,brain-mri-segmentation,0.007660872102599701
mnr,segmentation,3,3339,3,elu,0.0001,64,0.6091857,2,brain-mri-segmentation,0.0085952206363347
mnr,segmentation,3,3339,2,sigmoid,1e-05,32,0.46472096,2,brain-mri-segmentation,0.011267160190063302
mnr,segmentation,3,3339,1,elu,1e-05,64,0.5370684,2,brain-mri-segmentation,0.00974938294638076
mnr,segmentation,3,3339,2,tanh,0.001,64,0.65507233,2,brain-mri-segmentation,0.007993141001696714
mnr,segmentation,3,3339,3,relu,0.01,32,0.0052360855,2,brain-mri-segmentation,1.0
mnr,segmentation,3,3339,3,tanh,1e-05,16,0.51731354,2,brain-mri-segmentation,0.01012168655009494
mnr,segmentation,3,3339,2,elu,0.0001,16,0.5396681999999999,2,brain-mri-segmentation,0.009702416225377002
mnr,segmentation,3,3339,2,sigmoid,0.01,8,0.0511017,2,brain-mri-segmentation,0.10246401783110934
mnr,segmentation,3,3339,1,relu,0.001,64,0.64944667,2,brain-mri-segmentation,0.008062379471435276
mnr,segmentation,3,3339,3,relu,0.001,8,0.0511017,2,brain-mri-segmentation,0.10246401783110934
mnr,segmentation,3,3339,1,elu,0.01,16,0.5945489,2,brain-mri-segmentation,0.008806820599617626
mnr,segmentation,3,3339,3,tanh,0.0001,64,0.64935076,2,brain-mri-segmentation,0.008063570295967621
mnr,segmentation,3,3339,1,relu,1e-05,16,0.5230745,2,brain-mri-segmentation,0.010010209826707287
mnr,segmentation,3,3339,3,elu,1e-05,16,0.5334584,2,brain-mri-segmentation,0.009815358610905742
unet,segmentation,3,3339,3,relu,0.0001,16,0.8679886,2,brain-mri-segmentation,0.009593914021451433
unet,segmentation,3,3339,2,tanh,0.001,16,0.6907471,2,brain-mri-segmentation,0.012055653943389701
unet,segmentation,3,3339,3,relu,0.01,16,0.75149804,2,brain-mri-segmentation,0.011081077470275239
unet,segmentation,3,3339,1,sigmoid,0.0001,16,0.36448854,2,brain-mri-segmentation,0.022846830794735
unet,segmentation,3,3339,1,relu,0.001,16,0.008327781999999999,2,brain-mri-segmentation,0.9999550900828097
unet,segmentation,3,3339,1,sigmoid,0.001,32,0.33360413,2,brain-mri-segmentation,0.024961945165367108
unet,segmentation,3,3339,2,sigmoid,1e-05,32,0.18340899,2,brain-mri-segmentation,0.045403488673047054
unet,segmentation,3,3339,1,tanh,0.0001,8,0.0083278,2,brain-mri-segmentation,0.9999529287446864
unet,segmentation,3,3339,2,elu,0.0001,32,0.8955824,2,brain-mri-segmentation,0.009298315822195702
unet,segmentation,3,3339,2,relu,0.01,64,0.86763334,2,brain-mri-segmentation,0.009597842332799244
unet,segmentation,3,3339,1,relu,0.0001,32,0.008327408,2,brain-mri-segmentation,1.0
unet,segmentation,3,3339,1,elu,0.0001,8,0.008327781999999999,2,brain-mri-segmentation,0.9999550900828097
unet,segmentation,3,3339,3,tanh,1e-05,8,0.88589305,2,brain-mri-segmentation,0.009400015046963061
unet,segmentation,3,3339,2,relu,0.001,64,0.8558281999999999,2,brain-mri-segmentation,0.009730233240736868
unet,segmentation,3,3339,1,relu,1e-05,32,0.7548279999999999,2,brain-mri-segmentation,0.011032192764444351
unet,segmentation,3,3339,2,tanh,0.0001,32,0.84981185,2,brain-mri-segmentation,0.009799119652191246
unet,segmentation,3,3339,2,sigmoid,1e-05,16,0.09046213,2,brain-mri-segmentation,0.092054078319845
unet,segmentation,3,3339,3,relu,0.001,8,0.79158705,2,brain-mri-segmentation,0.010519889126533842
unet,segmentation,3,3339,2,sigmoid,0.01,64,0.34462494,2,brain-mri-segmentation,0.02416368356857748
unet,segmentation,3,3339,3,sigmoid,1e-05,32,0.05928142,2,brain-mri-segmentation,0.14047247856073622
unet,segmentation,3,3339,2,tanh,0.001,32,0.7212811,2,brain-mri-segmentation,0.01154530182476707
unet,segmentation,3,3339,1,sigmoid,0.001,16,0.3386853,2,brain-mri-segmentation,0.0245874503558318
unet,segmentation,3,3339,1,tanh,1e-05,64,0.59152794,2,brain-mri-segmentation,0.014077793180825913
unet,segmentation,3,3339,3,elu,0.001,8,0.008327733,2,brain-mri-segmentation,0.9999609737728142
unet,segmentation,3,3339,2,relu,0.001,8,0.008327811999999999,2,brain-mri-segmentation,0.9999514878577952
unet,segmentation,3,3339,3,elu,0.01,64,0.798962,2,brain-mri-segmentation,0.010422783561671268
unet,segmentation,3,3339,2,elu,0.0001,8,0.8659752000000001,2,brain-mri-segmentation,0.009616219956414455
unet,segmentation,3,3339,2,tanh,1e-05,8,0.88544005,2,brain-mri-segmentation,0.009404824188831304
unet,segmentation,3,3339,2,sigmoid,0.0001,64,0.80776054,2,brain-mri-segmentation,0.010309253284395397
unet,segmentation,3,3339,3,sigmoid,0.001,64,0.6187148,2,brain-mri-segmentation,0.013459202850812684
irnet,segmentation,3,3339,3,tanh,0.01,8,0.0069403364,2,brain-mri-segmentation,1.0
irnet,segmentation,3,3339,3,relu,0.001,8,0.0069403364,2,brain-mri-segmentation,1.0
irnet,segmentation,3,3339,3,tanh,0.001,4,0.0069403364,2,brain-mri-segmentation,1.0
irnet,segmentation,3,3339,1,elu,0.01,4,0.0069403364,2,brain-mri-segmentation,1.0
irnet,segmentation,3,3339,2,tanh,0.001,8,0.0069403364,2,brain-mri-segmentation,1.0
irnet,segmentation,3,3339,2,elu,1e-05,16,0.62378144,2,brain-mri-segmentation,0.011126231008091552
irnet,segmentation,3,3339,1,relu,0.01,4,0.0069403364,2,brain-mri-segmentation,1.0
irnet,segmentation,3,3339,1,sigmoid,0.0001,4,0.5945544,2,brain-mri-segmentation,0.011673173051952857
irnet,segmentation,3,3339,3,relu,0.0001,32,0.8166711999999999,2,brain-mri-segmentation,0.00849832392767126
irnet,segmentation,3,3339,2,sigmoid,1e-05,16,0.6228071999999999,2,brain-mri-segmentation,0.011143635462146233
irnet,segmentation,3,3339,3,relu,1e-05,4,0.59418094,2,brain-mri-segmentation,0.011680509980680296
irnet,segmentation,3,3339,1,tanh,1e-05,4,0.52226615,2,brain-mri-segmentation,0.013288888050661526
irnet,segmentation,3,3339,1,elu,0.001,8,0.0069403364,2,brain-mri-segmentation,1.0
irnet,segmentation,3,3339,3,elu,0.001,8,0.0069403364,2,brain-mri-segmentation,1.0
irnet,segmentation,3,3339,1,elu,1e-05,32,0.5961145,2,brain-mri-segmentation,0.011642623019570905
irnet,segmentation,3,3339,3,sigmoid,0.001,4,0.0069403364,2,brain-mri-segmentation,1.0
irnet,segmentation,3,3339,2,tanh,0.0001,8,0.7771513000000001,2,brain-mri-segmentation,0.008930482905966958
irnet,segmentation,3,3339,1,sigmoid,0.001,4,0.0069403364,2,brain-mri-segmentation,1.0
irnet,segmentation,3,3339,2,relu,0.01,32,0.7238599,2,brain-mri-segmentation,0.00958795534881819
irnet,segmentation,3,3339,2,elu,0.0001,8,0.0069403388,2,brain-mri-segmentation,0.999999654195556
irnet,segmentation,3,3339,2,sigmoid,1e-05,8,0.61629564,2,brain-mri-segmentation,0.011261375141320163
irnet,segmentation,3,3339,1,relu,0.001,16,0.8220455,2,brain-mri-segmentation,0.008442764299543031
irnet,segmentation,3,3339,3,tanh,0.01,32,0.84584576,2,brain-mri-segmentation,0.008205203274885484
irnet,segmentation,3,3339,2,relu,1e-05,32,0.6826717,2,brain-mri-segmentation,0.01016643344084719
irnet,segmentation,3,3339,1,sigmoid,0.0001,16,0.701404,2,brain-mri-segmentation,0.009894919903507821
irnet,segmentation,3,3339,3,relu,0.0001,16,0.8816693999999999,2,brain-mri-segmentation,0.00787181272254657
irnet,segmentation,3,3339,1,tanh,0.001,8,0.66987467,2,brain-mri-segmentation,0.010360649104704914
irnet,segmentation,3,3339,1,sigmoid,0.0001,8,0.6147938000000001,2,brain-mri-segmentation,0.011288884826099417
irnet,segmentation,3,3339,2,relu,1e-05,16,0.68554926,2,brain-mri-segmentation,0.010123760326136155
irnet,segmentation,3,3339,3,elu,0.01,4,0.0069403364,2,brain-mri-segmentation,1.0
CNN,segmentation,30,480,2,elu,0.0001,128,0.7246094,3,indian-pines,0.9477088759820118
CNN,segmentation,30,480,2,elu,0.01,128,0.7128906,3,indian-pines,0.9632877190413227
CNN,segmentation,30,480,1,tanh,0.01,16,0.728125,3,indian-pines,0.9431330609442059
CNN,segmentation,30,480,5,sigmoid,0.001,64,0.728125,3,indian-pines,0.9431330609442059
CNN,segmentation,30,480,5,sigmoid,0.01,16,0.7230469,3,indian-pines,0.9497568691602162
CNN,segmentation,30,480,2,tanh,0.01,16,0.7050781,3,indian-pines,0.9739612675531972
CNN,segmentation,30,480,3,sigmoid,0.0001,16,0.71953124,3,indian-pines,0.9543974212989
CNN,segmentation,30,480,3,sigmoid,0.001,64,0.7300781,3,indian-pines,0.9406099977522953
CNN,segmentation,30,480,1,tanh,0.0001,128,0.68671876,3,indian-pines,1.0
CNN,segmentation,30,480,4,relu,0.001,64,0.7300781,3,indian-pines,0.9406099977522953
CNN,segmentation,30,480,4,sigmoid,0.0001,16,0.71367186,3,indian-pines,0.9622332033660399
CNN,segmentation,30,480,4,elu,0.001,128,0.7042969,3,indian-pines,0.9750415769258675
CNN,segmentation,30,480,1,elu,0.0001,16,0.6929687,3,indian-pines,0.9909809202060641
CNN,segmentation,30,480,4,relu,0.01,16,0.7007812,3,indian-pines,0.9799331945548767
CNN,segmentation,30,480,2,sigmoid,0.001,8,0.7007812,3,indian-pines,0.9799331945548767
CNN,segmentation,30,480,2,elu,1e-05,16,0.71953124,3,indian-pines,0.9543974212989
CNN,segmentation,30,480,5,sigmoid,0.0001,8,0.7066406,3,indian-pines,0.971807677056767
CNN,segmentation,30,480,1,relu,0.01,32,0.715625,3,indian-pines,0.9596070008733625
CNN,segmentation,30,480,4,sigmoid,1e-05,8,0.6898438,3,indian-pines,0.9954699310191669
CNN,segmentation,30,480,1,sigmoid,0.001,128,0.6988281,3,indian-pines,0.982671933197878
CNN,segmentation,30,480,3,elu,1e-05,64,0.7089844,3,indian-pines,0.9685950212726825
CNN,segmentation,30,480,1,tanh,0.001,128,0.690625,3,indian-pines,0.9943439058823529
CNN,segmentation,30,480,4,relu,1e-05,8,0.73125,3,indian-pines,0.9391025777777778
CNN,segmentation,30,480,3,tanh,1e-05,64,0.709375,3,indian-pines,0.9680616881057269
CNN,segmentation,30,480,2,sigmoid,0.01,8,0.7175781,3,indian-pines,0.9569951479845887
CNN,segmentation,30,480,1,sigmoid,0.0001,16,0.7210938,3,indian-pines,0.952329308614219
CNN,segmentation,30,480,3,relu,0.0001,16,0.7,3,indian-pines,0.9810268000000001
CNN,segmentation,30,480,1,relu,0.0001,64,0.7125,3,indian-pines,0.9638158035087718
CNN,segmentation,30,480,4,tanh,0.001,128,0.721875,3,indian-pines,0.9512987151515151
CNN,segmentation,30,480,4,elu,1e-05,64,0.72734374,3,indian-pines,0.944146106213824
CNN,segmentation,30,480,2,tanh,0.01,64,0.7277344,3,indian-pines,0.9436392727896331
CNN,segmentation,30,480,4,tanh,1e-05,32,0.69375,3,indian-pines,0.9898648792792792
CNN,segmentation,30,480,1,elu,1e-05,32,0.7441406,3,indian-pines,0.9228346901109816
CNN,segmentation,30,480,2,tanh,1e-05,16,0.7203125,3,indian-pines,0.9533622698481561
CNN,segmentation,30,480,3,elu,1e-05,128,0.690625,3,indian-pines,0.9943439058823529
CNN,segmentation,30,480,1,tanh,0.0001,32,0.728125,3,indian-pines,0.9431330609442059
CNN,segmentation,30,480,1,elu,0.01,8,0.72265625,3,indian-pines,0.9502702841081081
CNN,segmentation,30,480,4,elu,0.01,8,0.72929686,3,indian-pines,0.9416176013701745
CNN,segmentation,30,480,3,relu,1e-05,32,0.7128906,3,indian-pines,0.9632877190413227
CNN,segmentation,30,480,5,tanh,1e-05,64,0.7171875,3,indian-pines,0.9575163538126362
CNN,segmentation,30,480,4,relu,0.01,128,0.71953124,3,indian-pines,0.9543974212989
CNN,segmentation,30,480,5,relu,0.01,32,0.7289063,3,indian-pines,0.9421221355886209
CNN,segmentation,30,480,2,sigmoid,1e-05,8,0.70039064,3,indian-pines,0.980479636335517
CNN,segmentation,30,480,4,elu,0.01,64,0.6996094,3,indian-pines,0.9815745185813683
CNN,segmentation,30,480,1,sigmoid,0.001,32,0.715625,3,indian-pines,0.9596070008733625
CNN,segmentation,30,480,1,tanh,0.0001,64,0.7152344,3,indian-pines,0.9601310563362164
CNN,segmentation,30,480,2,sigmoid,0.001,16,0.7203125,3,indian-pines,0.9533622698481561
CNN,segmentation,30,480,3,sigmoid,1e-05,32,0.7171875,3,indian-pines,0.9575163538126362
